LINE_SEGMENT,TRACK_NUMBER,BEG MP,GRADE_TO_NEXT
1,1,70.75,-0.25
1,1,70.83,-0.19
1,1,71,-0.41
1,1,71.21,-0.33
1,1,71.4,-0.23
1,1,71.55,-0.15
1,1,71.59,-0.19
1,1,71.62,-0.1
1,1,71.64,0
1,1,71.66,0
1,1,71.68,0
1,1,71.85,0
1,1,71.87,0
1,1,71.89,0.19
1,1,71.91,0.29
1,1,72.02,0.46
1,1,72.06,0.21
1,1,72.19,-0.3
1,1,72.21,0.19
1,1,72.23,0.15
1,1,72.27,0.1
1,1,72.34,0
1,1,72.53,0.2
1,1,72.57,0.16
1,1,72.72,0.15
1,1,72.76,0.19
1,1,72.8,0.09
1,1,72.86,0.13
1,1,72.91,0.02
1,1,72.99,0.05
1,1,73.02,0.16
1,1,73.08,0.05
1,1,73.22,0
1,1,73.27,0.07
1,1,73.4,0.04
1,1,73.57,-0.03
1,1,73.63,-0.07
1,1,73.71,0.04
1,1,73.75,0.13
1,1,73.8,0.14
1,1,73.84,0.1
1,1,73.86,0.15
1,1,73.93,0.7
1,1,73.95,0.07
1,1,74.05,0.23
1,1,74.11,0.21
1,1,74.26,0.05
1,1,74.39,-0.01
1,1,74.54,-0.02
1,1,74.81,0
1,1,75,0.3
1,1,75.18,0.33
1,1,75.28,0.23
1,1,75.34,-0.15
1,1,75.43,-0.43
1,1,75.56,-0.32
1,1,75.75,0.01
1,1,75.94,0.04
1,1,76.02,-0.24
1,1,76.06,0.02
1,1,76.23,0.15
1,1,76.26,0.44
1,1,76.43,0.4
1,1,76.49,0.29
1,1,76.51,0.37
1,1,76.94,0.28
1,1,76.98,0.44
1,1,77.02,0.28
1,1,77.13,0.04
1,1,77.17,-0.07
1,1,77.27,-0.18
1,1,77.46,-0.32
1,1,77.59,0.1
1,1,77.84,0.14
1,1,77.95,0.28
1,1,78.04,0.26
1,1,78.16,0.19
1,1,78.22,0.12
1,1,78.31,0.12
1,1,78.38,0.02
1,1,78.65,-0.17
1,1,78.73,-0.31
1,1,78.97,-0.33
1,1,79.03,-0.4
1,1,79.05,-0.39
1,1,79.11,-0.29
