LS,BMP,EMP,BegState,EndState,PASS SPEED,FREIGHT SPEED,TRACKS
1,123.15,131.13,"NEPONSET, IL","KEWANEE, IL",79,60,2
1,123.15,131.13,"NEPONSET, IL","KEWANEE, IL",79,60,2
1,123.15,131.13,"NEPONSET, IL","KEWANEE, IL",79,60,2
1,123.15,131.13,"NEPONSET, IL","KEWANEE, IL",79,60,2
1,123.15,131.13,"NEPONSET, IL","KEWANEE, IL",79,60,2
1,123.15,131.13,"NEPONSET, IL","KEWANEE, IL",79,60,2
1,131.13,162,"KEWANEE, IL","PEARL ST, IL",79,60,2
1,131.13,162,"KEWANEE, IL","PEARL ST, IL",79,60,2
1,131.13,162,"KEWANEE, IL","PEARL ST, IL",79,60,2
1,131.13,162,"KEWANEE, IL","PEARL ST, IL",79,60,2
1,131.13,162,"KEWANEE, IL","PEARL ST, IL",79,60,2
1,131.13,162,"KEWANEE, IL","PEARL ST, IL",79,60,2
1,131.13,162,"KEWANEE, IL","PEARL ST, IL",79,60,2
1,131.13,162,"KEWANEE, IL","PEARL ST, IL",79,60,2
1,131.13,162,"KEWANEE, IL","PEARL ST, IL",79,60,2
1,131.13,162,"KEWANEE, IL","PEARL ST, IL",79,60,2
1,131.13,162,"KEWANEE, IL","PEARL ST, IL",79,60,2
1,131.13,162,"KEWANEE, IL","PEARL ST, IL",79,60,2
1,131.13,162,"KEWANEE, IL","PEARL ST, IL",79,60,2
1,131.13,162,"KEWANEE, IL","PEARL ST, IL",79,60,2
1,131.13,162,"KEWANEE, IL","PEARL ST, IL",79,60,2
1,131.13,162,"KEWANEE, IL","PEARL ST, IL",79,60,2
1,131.13,162,"KEWANEE, IL","PEARL ST, IL",79,60,2
1,131.13,162,"KEWANEE, IL","PEARL ST, IL",79,60,2
1,131.13,162,"KEWANEE, IL","PEARL ST, IL",79,60,2
1,131.13,162,"KEWANEE, IL","PEARL ST, IL",79,60,2
1,131.13,162,"KEWANEE, IL","PEARL ST, IL",79,60,2
1,131.13,162,"KEWANEE, IL","PEARL ST, IL",79,60,2
1,131.13,162,"KEWANEE, IL","PEARL ST, IL",79,60,2
1,131.13,162,"KEWANEE, IL","PEARL ST, IL",79,60,2
1,131.13,162,"KEWANEE, IL","PEARL ST, IL",79,60,2
1,131.13,162,"KEWANEE, IL","PEARL ST, IL",79,60,2
1,131.13,162,"KEWANEE, IL","PEARL ST, IL",79,60,2
1,131.13,162,"KEWANEE, IL","PEARL ST, IL",79,60,2
1,131.13,162,"KEWANEE, IL","PEARL ST, IL",79,60,2
1,131.13,162,"KEWANEE, IL","PEARL ST, IL",79,60,2
1,131.13,162,"KEWANEE, IL","PEARL ST, IL",79,60,2
1,168.4,169.9,"GRAHAM, IL","CP 1699, IL",79,60,2
1,168.4,169.9,"GRAHAM, IL","CP 1699, IL",79,60,2
1,168.4,169.9,"GRAHAM, IL","CP 1699, IL",79,60,2
1,168.4,169.9,"GRAHAM, IL","CP 1699, IL",79,60,2
1,168.4,169.9,"GRAHAM, IL","CP 1699, IL",79,60,2
1,168.4,169.9,"GRAHAM, IL","CP 1699, IL",79,60,2
1,168.4,169.9,"GRAHAM, IL","CP 1699, IL",79,60,2
1,169.9,170.5,"CP 1699, IL","CP 1705, IL",79,60,2
1,170.5,171.52,"CP 1705, IL","CAMERON, IL",59,49,2
1,171.52,179.18,"CAMERON, IL","MONMOUTH, IL",70,50,2
1,171.52,179.18,"CAMERON, IL","MONMOUTH, IL",70,50,2
1,171.52,179.18,"CAMERON, IL","MONMOUTH, IL",70,50,2
1,171.52,179.18,"CAMERON, IL","MONMOUTH, IL",70,50,2
1,171.52,179.18,"CAMERON, IL","MONMOUTH, IL",70,50,2
1,171.52,179.18,"CAMERON, IL","MONMOUTH, IL",70,50,2
1,171.52,179.18,"CAMERON, IL","MONMOUTH, IL",70,50,2
1,171.52,179.18,"CAMERON, IL","MONMOUTH, IL",70,50,2
1,179.18,190.67,"MONMOUTH, IL","BIGGSVILLE, IL",79,60,2
1,179.18,190.67,"MONMOUTH, IL","BIGGSVILLE, IL",79,60,2
1,179.18,190.67,"MONMOUTH, IL","BIGGSVILLE, IL",79,60,2
1,179.18,190.67,"MONMOUTH, IL","BIGGSVILLE, IL",79,60,2
1,179.18,190.67,"MONMOUTH, IL","BIGGSVILLE, IL",79,60,2
1,179.18,190.67,"MONMOUTH, IL","BIGGSVILLE, IL",79,60,2
1,179.18,190.67,"MONMOUTH, IL","BIGGSVILLE, IL",79,60,2
1,179.18,190.67,"MONMOUTH, IL","BIGGSVILLE, IL",79,60,2
1,179.18,190.67,"MONMOUTH, IL","BIGGSVILLE, IL",79,60,2
1,179.18,190.67,"MONMOUTH, IL","BIGGSVILLE, IL",79,60,2
1,179.18,190.67,"MONMOUTH, IL","BIGGSVILLE, IL",79,60,2
1,190.67,205.58,"BIGGSVILLE, IL","BURLINGTON, IA",79,60,2
