,LINE_SEGMENT,BEG MP,END MP,SPEED,LENGTH (FT),CURVE NUMBER,DIRECTION,DEG OF CURVE,GRADE_TO_NEXT,index,SPEED_INDI,LENGTH (M),ELEV (M)
0,32.0,18.77,19.18,49.0,0.0,0.0,0.0,0.0,0.03,0.0,non_speed,659.8294000000002,0.19794882000000005
1,32.0,19.18,19.194,49.0,1852.0,19,R,1.03333,0.0,0.0,non_speed,22.530759999998946,0.19794882000000005
2,32.0,19.194,19.66,49.0,0.0,0.0,0.0,0.0,0.0,1.0,non_speed,749.9524400000017,0.19794882000000005
3,32.0,19.66,19.84,49.0,0.0,0.0,0.0,0.0,0.0,2.0,non_speed,289.68119999999954,0.19794882000000005
4,32.0,19.84,19.96,49.0,0.0,0.0,0.0,0.0,0.05,3.0,non_speed,193.1208000000016,0.29450922000000085
5,32.0,19.96,20.23,49.0,0.0,0.0,0.0,0.0,0.0,4.0,non_speed,434.5217999999993,0.29450922000000085
6,32.0,20.23,20.52,49.0,0.0,0.0,0.0,0.0,-0.11,5.0,non_speed,466.7085999999986,-0.2188702399999976
7,32.0,20.52,21.01,49.0,0.0,0.0,0.0,0.0,0.0,6.0,non_speed,788.5766000000032,-0.2188702399999976
8,32.0,21.01,21.48,49.0,0.0,0.0,0.0,0.0,-0.05,7.0,non_speed,756.3897999999981,-0.5970651399999967
9,32.0,21.48,21.72,49.0,0.0,0.0,0.0,0.0,0.0,8.0,non_speed,386.24159999999745,-0.5970651399999967
10,32.0,21.72,21.79,49.0,0.0,0.0,0.0,0.0,0.2,9.0,non_speed,112.65380000000046,-0.3717575399999957
11,32.0,21.79,21.85,49.0,0.0,0.0,0.0,0.0,0.0,10.0,non_speed,96.56040000000365,-0.3717575399999957
12,32.0,21.85,21.94,49.0,0.0,0.0,0.0,0.0,-0.16,11.0,non_speed,144.84059999999977,-0.6035024999999954
13,32.0,21.94,22.13,49.0,0.0,0.0,0.0,0.0,0.06,12.0,non_speed,305.7745999999963,-0.4200377399999976
14,32.0,22.13,22.26,49.0,0.0,0.0,0.0,0.0,-0.14,13.0,non_speed,209.2142000000041,-0.7129376200000034
15,32.0,22.26,22.87,49.0,0.0,0.0,0.0,0.0,-0.02,14.0,non_speed,981.697399999999,-0.9092771000000032
16,32.0,22.87,23.25,49.0,0.0,0.0,0.0,0.0,-0.06,15.0,non_speed,611.5491999999983,-1.2762066200000022
17,32.0,23.25,23.45,49.0,0.0,0.0,0.0,0.0,0.02,16.0,non_speed,321.86799999999886,-1.2118330200000025
18,32.0,23.45,26.22,49.0,0.0,0.0,0.0,0.0,0.0,17.0,non_speed,4457.871799999999,-1.2118330200000025
19,32.0,26.22,26.37,49.0,0.0,0.0,0.0,0.0,0.17,18.0,non_speed,241.40100000000342,-0.8014513199999966
20,32.0,26.37,26.54,49.0,0.0,0.0,0.0,0.0,-0.15,19.0,non_speed,273.587799999997,-1.211833019999992
21,32.0,26.54,27.81,49.0,0.0,0.0,0.0,0.0,0.0,20.0,non_speed,2043.8617999999992,-1.211833019999992
22,32.0,27.81,28.37,49.0,0.0,0.0,0.0,0.0,0.03,21.0,non_speed,901.2304000000037,-0.9414638999999909
23,32.0,28.37,28.94,49.0,0.0,0.0,0.0,0.0,-0.03,22.0,non_speed,917.3238000000005,-1.216661039999991
