,LINE_SEGMENT,BEG MP,END MP,SPEED,LENGTH (FT),CURVE NUMBER,DIRECTION,DEG OF CURVE,GRADE_TO_NEXT,index,SPEED_INDI,LENGTH (M),ELEV (M)
0,216.0,7.0,8.15,10,0.0,0.0,0.0,0.0,-0.6,0.0,non_speed,1850.7410000000004,-11.104446000000003
1,216.0,7.242,7.426,10,588.0,0007A,R,2.0,0.0,1.0,non_speed,296.11856000000023,-11.104446000000003
2,216.0,7.426,7.969,10,1247.0,0007B,R,2.58333,0.0,2.0,non_speed,873.8716200000002,-11.104446000000003
3,216.0,7.969,8.15,10,246.0,8,L,2.5,0.0,3.0,non_speed,291.2905400000001,-11.104446000000003
4,216.0,8.15,8.188,10,246.0,8,L,2.5,-0.33,3.0,non_speed,61.15492000000041,-11.306257236000004
5,216.0,8.188,8.21,10,0.0,0.0,0.0,0.0,-0.33,1.0,non_speed,35.40548000000039,-11.423095320000005
6,216.0,8.21,8.28,10,0.0,0.0,0.0,0.0,-0.25,2.0,non_speed,112.65379999999759,-11.704729819999999
7,216.0,8.28,8.293,10,100.0,0008A,R,5.0,-0.3,4.0,non_speed,20.921419999999838,-11.767494079999999
8,216.0,8.293,8.65,10,0.0,0.0,0.0,0.0,-0.3,3.0,non_speed,574.5343800000018,-13.491097220000004
9,216.0,8.65,8.83,10,0.0,0.0,0.0,0.0,-0.1,4.0,non_speed,289.68119999999954,-13.780778420000004
10,216.0,8.83,8.94,10,0.0,0.0,0.0,0.0,0.0,5.0,non_speed,177.02739999999906,-13.780778420000004
11,216.0,8.94,9.13,10,0.0,0.0,0.0,0.0,0.4,6.0,non_speed,305.77460000000207,-12.557680019999996
12,216.0,9.13,9.18,10,0.0,0.0,0.0,0.0,0.0,7.0,non_speed,80.46699999999828,-12.557680019999996
13,216.0,9.18,9.24,10,0.0,0.0,0.0,0.0,-0.38,8.0,non_speed,96.5604000000008,-12.924609539999999
14,216.0,9.24,9.35,10,905.0,9,R,1.0,0.0,5.0,non_speed,177.02739999999906,-12.924609539999999
15,216.0,9.35,9.354,10,905.0,9,R,1.0,0.39,5.0,non_speed,6.43735999999929,-12.899503836000001
16,216.0,9.354,9.49,10,0.0,0.0,0.0,0.0,0.39,10.0,non_speed,218.87024000000162,-12.045909899999995
17,216.0,9.441,9.52,10,0.0,0.0,0.0,0.0,0.0,11.0,non_speed,127.13785999999814,-12.045909899999995
18,216.0,9.52,9.61,10,0.0,0.0,0.0,0.0,0.38,12.0,non_speed,144.84059999999977,-11.495515619999995
19,216.0,9.58,9.85,10,0.0,0.0,0.0,0.0,0.13,13.0,non_speed,434.5217999999993,-10.930637279999996
20,216.0,9.85,9.87,10,0.0,0.0,0.0,0.0,0.0,14.0,non_speed,32.18679999999931,-10.930637279999996
21,216.0,9.87,10.04,10,0.0,0.0,0.0,0.0,-0.33,15.0,non_speed,273.58779999999985,-11.833477019999995
22,216.0,10.04,10.06,10,0.0,0.0,0.0,0.0,0.0,16.0,non_speed,32.18680000000217,-11.833477019999995
23,216.0,10.06,10.16,10,0.0,0.0,0.0,0.0,0.35,17.0,non_speed,160.93399999999943,-11.270208019999997
24,216.0,10.16,10.57,10,0.0,0.0,0.0,0.0,0.53,18.0,non_speed,659.8294000000002,-7.7731121999999955
25,216.0,10.57,10.76,10,0.0,0.0,0.0,0.0,0.25,19.0,non_speed,305.77459999999917,-7.008675699999998
26,216.0,10.76,10.93,10,0.0,0.0,0.0,0.0,0.24,20.0,non_speed,273.58779999999985,-6.352064979999998
27,216.0,10.93,11.1,10,0.0,0.0,0.0,0.0,0.24,21.0,non_speed,273.58779999999985,-5.695454259999998
28,216.0,11.1,11.2,10,0.0,0.0,0.0,0.0,0.0,22.0,non_speed,160.93399999999943,-5.695454259999998
29,216.0,11.195,11.52,10,0.0,0.0,0.0,0.0,-0.53,23.0,non_speed,523.0354999999988,-8.467542409999993
30,216.0,11.281,11.62,10,0.0,0.0,0.0,0.0,-0.03,24.0,non_speed,160.93399999999943,-8.515822609999994
