,LINE_SEGMENT,BEG MP,END MP,SPEED,LENGTH (FT),CURVE NUMBER,DIRECTION,DEG OF CURVE,GRADE_TO_NEXT,index,SPEED_INDI,LENGTH (M),ELEV (M)
0,7100.0,1.67,1.688,70.0,94.0,1,L,6.08333,0.0,0.0,non_speed,28.968120000000024,0.0
1,7100.0,1.688,2.13,70.0,291.0,2,R,1.95,0.0,1.0,non_speed,711.3282799999998,0.0
2,7100.0,2.13,2.833,70.0,2854.0,0002A,R,0.93,0.0,2.0,non_speed,1131.3660200000004,0.0
3,7100.0,2.833,3.194,70.0,1297.0,3,R,1.0,0.0,3.0,non_speed,580.9717399999996,0.0
4,7100.0,3.194,3.707,70.0,857.0,0003A,R,3.05,0.0,4.0,non_speed,825.5914199999997,0.0
5,7100.0,3.707,4.173,70.0,132.0,4,L,3.08805,0.0,5.0,non_speed,749.9524400000003,0.0
6,7100.0,4.173,4.252,70.0,133.0,0004A,R,3.08805,0.0,6.0,non_speed,127.13785999999958,0.0
7,7100.0,4.252,4.818,70.0,404.0,0004B,R,1.0,0.0,7.0,non_speed,910.8864399999997,0.0
8,7100.0,4.818,5.005,70.0,234.0,5,L,1.5,0.0,8.0,non_speed,300.94658000000044,0.0
9,7100.0,5.005,5.46,70.0,132.0,0005A,L,3.10472,0.0,9.0,non_speed,732.2497000000001,0.0
10,7100.0,5.46,5.562,70.0,500.0,0005B,L,4.75,0.0,10.0,non_speed,164.1526800000005,0.0
11,7100.0,5.562,6.066,70.0,892.0,6,R,2.93333,0.0,11.0,non_speed,811.1073599999993,0.0
12,7100.0,6.066,6.424,70.0,1006.0,0006A,R,3.0,0.0,12.0,non_speed,576.1437200000008,0.0
13,7100.0,6.424,6.785,70.0,779.0,0006B,L,2.06666,0.0,13.0,non_speed,580.9717399999996,0.0
14,7100.0,6.785,6.87,70.0,447.0,0006C,L,3.5,0.0,14.0,non_speed,136.79389999999992,0.0
15,7100.0,6.87,6.931,70.0,97.0,0006D,L,3.5,0.0,15.0,non_speed,98.1697399999999,0.0
16,7100.0,6.931,7.053,70.0,300.0,7,L,0.33333,0.0,16.0,non_speed,196.3394799999998,0.0
17,7100.0,7.053,7.31,70.0,3874.0,0007A,L,1.39055,0.0,17.0,non_speed,413.60037999999946,0.0
18,7100.0,7.31,7.784,70.0,3874.0,0007A,L,1.39055,0.52,17.0,non_speed,762.8271600000003,3.9667012320000015
19,7100.0,7.385,7.65,70.0,0.0,0.0,0.0,0.0,0.03,1.0,non_speed,426.4751000000009,4.094643762000001
20,7100.0,7.65,7.84,70.0,0.0,0.0,0.0,0.0,-0.56,2.0,non_speed,305.77459999999917,2.3823060020000058
21,7100.0,7.84,7.98,70.0,0.0,0.0,0.0,0.0,-0.6,3.0,non_speed,225.30760000000092,1.0304604020000003
22,7100.0,7.98,8.13,70.0,918.0,8,L,0.66666,-0.56,19.0,non_speed,241.40100000000055,-0.32138519800000287
23,7100.0,8.13,8.146,70.0,918.0,8,L,0.66666,-0.1,19.0,non_speed,25.74944000000002,-0.3471346380000029
24,7100.0,8.146,8.5,70.0,0.0,0.0,0.0,0.0,-0.1,5.0,non_speed,569.7063599999987,-0.9168409980000016
25,7100.0,8.292,8.5,70.0,858.0,0008B,R,0.66,0.0,21.0,non_speed,334.7427200000003,-0.9168409980000016
26,7100.0,8.5,8.628,70.0,858.0,0008B,R,0.66,0.0,21.0,non_speed,205.99552000000017,-0.9168409980000016
27,7100.0,8.628,8.71,70.0,0.0,0.0,0.0,0.0,0.0,6.0,non_speed,131.9658800000012,-0.9168409980000016
28,7100.0,8.71,9.33,70.0,0.0,0.0,0.0,0.0,0.08,7.0,non_speed,997.7907999999987,-0.11860835800000269
29,7100.0,9.33,9.41,70.0,0.0,0.0,0.0,0.0,0.16,8.0,non_speed,128.7472000000001,0.08738716199999749
30,7100.0,9.41,9.43,70.0,0.0,0.0,0.0,0.0,0.14,9.0,non_speed,32.18679999999931,0.13244868199999654
31,7100.0,9.43,9.54,70.0,690.0,9,R,0.33333,-0.03,22.0,non_speed,177.02739999999906,0.07934046199999684
32,7100.0,9.54,9.551,70.0,690.0,9,R,0.33333,0.04,22.0,non_speed,17.702740000001622,0.08642155799999748
33,7100.0,9.551,9.65,70.0,0.0,0.0,0.0,0.0,0.04,11.0,non_speed,159.3246600000003,0.1501514219999976
34,7100.0,9.65,9.77,70.0,0.0,0.0,0.0,0.0,-0.04,12.0,non_speed,193.12079999999872,0.0729031019999981
35,7100.0,9.77,9.88,70.0,0.0,0.0,0.0,0.0,0.0,13.0,non_speed,177.02740000000193,0.0729031019999981
36,7100.0,9.88,10.07,70.0,0.0,0.0,0.0,0.0,0.27,14.0,non_speed,305.77459999999917,0.8984945219999959
37,7100.0,10.07,10.13,70.0,0.0,0.0,0.0,0.0,0.09,15.0,non_speed,96.5604000000008,0.9853988819999966
38,7100.0,10.13,10.2,70.0,0.0,0.0,0.0,0.0,-0.05,16.0,non_speed,112.65379999999759,0.9290719819999977
39,7100.0,10.2,10.58,70.0,0.0,0.0,0.0,0.0,0.03,17.0,non_speed,611.5492000000012,1.112536741999998
40,7100.0,10.58,10.7,70.0,0.0,0.0,0.0,0.0,0.19,18.0,non_speed,193.12079999999872,1.4794662619999956
41,7100.0,10.7,10.81,70.0,0.0,0.0,0.0,0.0,0.13,19.0,non_speed,177.02740000000193,1.709601881999998
42,7100.0,10.81,10.96,70.0,0.0,0.0,0.0,0.0,0.46,20.0,non_speed,241.40100000000055,2.8200464820000004
43,7100.0,10.96,11.09,70.0,0.0,0.0,0.0,0.0,0.47,21.0,non_speed,209.21419999999839,3.8033532219999926
44,7100.0,11.09,11.23,70.0,0.0,0.0,0.0,0.0,-0.11,22.0,non_speed,225.30760000000092,3.5555148619999914
