,index,BEG MP,END MP,LENGTH (FT),GRADE_TO_NEXT,Curvature (degrees),SPEED
114,42,71.2,71.5,1584.0,-0.98,0.0,
115,72,71.48,71.53,264.0,0.0,4.883333333,0.0
116,43,71.5,71.7,1056.0,0.08,0.0,
117,73,71.53,71.71,950.4,0.0,0.0,0.0
118,44,71.7,71.9,1056.0,0.73,0.0,
119,74,71.71,71.79,422.4,0.0,2.0,0.0
120,75,71.79,71.9,580.8,0.0,0.0,0.0
121,76,71.9,72.0,528.0,0.0,2.0,0.0
122,45,71.9,72.05,792.0,-1.33,0.0,
123,77,72.0,72.63,3326.4,0.0,0.0,0.0
124,46,72.05,72.36,1636.8,-1.45,0.0,
125,47,72.36,72.6,1267.2,-0.52,0.0,
126,48,72.6,72.8,1056.0,-0.2,0.0,
127,78,72.63,72.84,1108.8,0.0,4.0,0.0
128,49,72.8,73.0,1056.0,1.11,0.0,
129,79,72.84,72.95,580.8,0.0,0.0,0.0
130,80,72.95,73.12,897.6,0.0,3.883333,0.0
131,50,73.0,73.14,739.2,0.1,0.0,
132,81,73.12,73.46,1795.2,0.0,0.0,0.0
133,51,73.14,73.31,897.6,-0.17,0.0,
134,52,73.31,73.35,211.2,-0.75,0.0,
135,53,73.35,73.45,528.0,-0.75,0.0,
136,54,73.45,73.5,264.0,-0.75,0.0,
137,82,73.46,73.6,739.2,0.0,3.45,0.0
138,55,73.5,73.75,1320.0,1.15,0.0,
139,83,73.6,73.88,1478.4,0.0,0.0,0.0
140,56,73.75,74.0,1320.0,0.06,0.0,
141,84,73.88,73.98,528.0,0.0,4.066667,0.0
142,85,73.98,74.27,1531.2,0.0,0.0,0.0
143,57,74.0,74.25,1320.0,1.31,0.0,
144,58,74.25,74.4,792.0,0.3,0.0,
145,86,74.27,74.33,316.8,0.0,3.216667,0.0
146,87,74.33,74.6,1425.6,0.0,0.0,0.0
147,59,74.4,74.75,1848.0,1.37,0.0,
148,88,74.6,74.9,1584.0,0.0,2.0,0.0
149,60,74.75,75.0,1320.0,0.9,0.0,
150,89,74.9,75.7,4224.0,0.0,0.0,0.0
151,61,75.0,75.3,1584.0,1.35,0.0,
152,62,75.3,75.55,1320.0,0.55,0.0,
153,63,75.55,75.7,792.0,-0.85,0.0,
154,64,75.7,75.87,897.6,0.58,0.0,
155,90,75.7,75.95,1320.0,0.0,2.0,0.0
156,65,75.87,76.0,686.4,1.25,0.0,
157,91,75.95,76.42,2481.6,0.0,0.0,0.0
158,66,76.0,76.5,2640.0,0.9,0.0,
159,92,76.42,76.49,369.6,0.0,0.5,0.0
160,93,76.49,76.6,580.8,0.0,0.0,0.0
161,67,76.5,76.8,1584.0,-0.49,0.0,
162,94,76.6,77.3,3696.0,0.0,2.35,0.0
163,68,76.8,77.25,2376.0,-0.95,0.0,
164,69,77.25,77.62,1953.6,-1.15,0.0,
165,95,77.3,77.62,1689.6,0.0,0.0,0.0
166,96,77.62,77.67,264.0,0.0,2.25,0.0
167,70,77.62,78.13,2692.8,-0.95,0.0,
168,97,77.67,78.3,3326.4,0.0,0.0,0.0
169,71,78.13,78.43,1584.0,-1.16,0.0,
170,98,78.3,78.46,844.8,0.0,2.0,0.0
171,72,78.43,78.64,1108.8,-0.4,0.0,
172,99,78.46,78.55,475.2,0.0,0.0,0.0
173,100,78.55,78.92,1953.6,0.0,6.4,0.0
174,73,78.64,78.89,1320.0,0.14,0.0,
175,74,78.89,79.0,580.8,0.81,0.0,
176,101,78.92,79.08,844.8,0.0,0.0,0.0
177,75,79.0,79.49,2587.2,0.29,0.0,
178,102,79.08,79.15,369.6,0.0,2.0,0.0
179,103,79.15,79.34,1003.2,0.0,0.0,0.0
180,104,79.34,79.44,528.0,0.0,3.0,0.0
181,105,79.44,79.64,1056.0,0.0,0.0,0.0
182,76,79.49,79.75,1372.8,1.04,0.0,
183,106,79.64,79.76,633.6,0.0,3.166667,0.0
184,77,79.75,79.96,1108.8,1.1,0.0,
185,107,79.76,79.92,844.8,0.0,0.0,0.0
186,108,79.92,80.15,1214.4,0.0,4.083333,0.0
187,78,79.96,80.21,1320.0,0.78,0.0,
188,109,80.15,80.8,3432.0,0.0,0.0,0.0
189,79,80.21,80.41,1056.0,0.33,0.0,
190,80,80.41,80.54,686.4,0.29,0.0,
191,81,80.54,81.1,2956.8,0.96,0.0,
192,110,80.8,81.11,1636.8,0.0,3.0,0.0
193,82,81.1,81.35,1320.0,1.33,0.0,
194,111,81.11,81.54,2270.4,0.0,0.0,0.0
195,83,81.35,81.77,2217.6,0.84,0.0,
196,112,81.54,81.66,633.6,0.0,2.0,0.0
197,113,81.66,83.1,7603.2,0.0,0.0,0.0
198,84,81.77,82.0,1214.4,1.21,0.0,
199,85,82.0,82.22,1161.6,0.65,0.0,
200,86,82.22,82.6,2006.4,-0.05,0.0,
201,87,82.6,82.8,1056.0,0.46,0.0,
202,88,82.8,83.0,1056.0,1.34,0.0,
203,89,83.0,83.2,1056.0,0.5,0.0,
204,114,83.1,83.17,369.6,0.0,1.25,0.0
205,115,83.17,84.95,9398.4,0.0,0.0,0.0
206,90,83.2,83.4,1056.0,-0.7,0.0,
207,91,83.4,83.7,1584.0,-1.35,0.0,
208,92,83.7,83.81,580.8,0.0,0.0,
209,93,83.81,84.01,1056.0,0.4,0.0,
210,94,84.01,84.37,1900.8,0.0,0.0,
211,95,84.37,84.66,1531.2,0.35,0.0,
212,96,84.66,84.87,1108.8,1.31,0.0,
213,97,84.87,85.0,686.4,0.44,0.0,
214,116,84.95,84.99,211.2,0.0,1.75,0.0
215,117,84.99,88.0,15892.8,0.0,0.0,0.0
216,98,85.0,85.31,1636.8,0.57,0.0,
217,99,85.31,85.5,1003.2,1.3,0.0,
218,100,85.5,85.79,1531.2,-0.8,0.0,
219,101,85.79,86.0,1108.8,-1.21,0.0,
220,102,86.0,86.2,1056.0,0.01,0.0,
221,103,86.2,86.48,1478.4,-0.97,0.0,
222,104,86.48,86.65,897.6,-0.57,0.0,
223,105,86.65,86.86,1108.8,-1.6,0.0,
224,106,86.86,87.0,739.2,0.05,0.0,
225,107,87.0,87.0065,34.32,0.0,0.0,
226,108,87.0065,87.1005,496.32,-0.08,0.0,
